Device/package EF3L90CG400B   datasheet:1.3

Number       Name                                         Type               Position   Section
E2           IO_BE8P_5,GCLKIOB_4_5                        Bidirectional      Left       D
E1           IO_BE8N_5,GCLKIOB_4_5                        Bidirectional      Left       D
P2           IO_BE12N_4                                   Bidirectional      Right      D
P1           IO_BE12P_4                                   Bidirectional      Right      D
N2           IO_BE11N_4                                   Bidirectional      Right      D
N1           IO_BE11P_4                                   Bidirectional      Right      D
M4           IO_BE10N_4                                   Bidirectional      Right      D
M3           IO_BE10P_4                                   Bidirectional      Right      D
L7           IO_BE9N_4                                    Bidirectional      Right      D
L6           IO_BE9P_4                                    Bidirectional      Right      D
M5           IO_BE8N_4                                    Bidirectional      Right      D
L5           IO_BE8P_4                                    Bidirectional      Right      D
M2           IO_BE7N_4                                    Bidirectional      Right      D
M1           IO_BE7P_4                                    Bidirectional      Right      D
K1           IO_BE6N_4                                    Bidirectional      Right      D
K2           IO_BE6P_4                                    Bidirectional      Right      D
L4           IO_BE5N_4                                    Bidirectional      Right      D
L3           IO_BE5P_4                                    Bidirectional      Right      D
J1           IO_BE3N_4                                    Bidirectional      Right      D
J2           IO_BE3P_4                                    Bidirectional      Right      D
K4           IO_BE2N_4                                    Bidirectional      Right      D
K5           IO_BE2P_4                                    Bidirectional      Right      D
K7           IO_BE1N_4                                    Bidirectional      Right      D
K6           IO_BE1P_4                                    Bidirectional      Right      D
L2           IO_BE4N_4,GCLKIOB_3_4                        Bidirectional      Right      D
L1           IO_BE4P_4,GCLKIOB_2_4                        Bidirectional      Right      D
H1           IO_BE16N_5                                   Bidirectional      Right      D
H2           IO_BE16P_5                                   Bidirectional      Right      D
J3           IO_BE15N_5                                   Bidirectional      Right      D
J4           IO_BE15P_5                                   Bidirectional      Right      D
H4           IO_BE14N_5                                   Bidirectional      Right      D
H3           IO_BE14P_5                                   Bidirectional      Right      D
J5           IO_BE13N_5                                   Bidirectional      Right      D
J6           IO_BE13P_5                                   Bidirectional      Right      D
G1           IO_BE12N_5                                   Bidirectional      Right      D
G2           IO_BE12P_5                                   Bidirectional      Right      D
H7           IO_BE11N_5                                   Bidirectional      Right      D
H6           IO_BE11P_5                                   Bidirectional      Right      D
G3           IO_BE10N_5                                   Bidirectional      Right      D
G4           IO_BE10P_5                                   Bidirectional      Right      D
F1           IO_BE9N_5                                    Bidirectional      Right      D
F2           IO_BE9P_5                                    Bidirectional      Right      D
H12          VCCAUX                                       Power              Left       E
H13          VCCAUX                                       Power              Left       E
J10          VCCAUX                                       Power              Left       E
J11          VCCAUX                                       Power              Left       E
J9           VCCAUX                                       Power              Left       E
K12          VCCAUX                                       Power              Left       E
L12          VCCAUX                                       Power              Left       E
L9           VCCAUX                                       Power              Left       E
M12          VCCAUX                                       Power              Left       E
M10          VCCAUX                                       Power              Left       E
J12          VCCIO0                                       Power              Left       E
H9           VCCIO0                                       Power              Left       E
H8           VCCIO0                                       Power              Left       E
H11          VCCIO0                                       Power              Left       E
H10          VCCIO0                                       Power              Left       E
N13          VCCIO1                                       Power              Left       E
M13          VCCIO1                                       Power              Left       E
L13          VCCIO1                                       Power              Left       E
K13          VCCIO1                                       Power              Left       E
J13          VCCIO1                                       Power              Left       E
N9           VCCIO2                                       Power              Left       E
N8           VCCIO2                                       Power              Left       E
N12          VCCIO2                                       Power              Left       E
N11          VCCIO2                                       Power              Left       E
N10          VCCIO2                                       Power              Left       E
M9           VCCIO3                                       Power              Left       E
M8           VCCIO3                                       Power              Left       E
K9           VCCIO4                                       Power              Left       E
K8           VCCIO4                                       Power              Left       E
J8           VCCIO5                                       Power              Left       E
J7           VCCIO5                                       Power              Left       E
C5           GND                                          Power              Right      E
D3           GND                                          Power              Right      E
D4           GND                                          Power              Right      E
E10          GND                                          Power              Right      E
E11          GND                                          Power              Right      E
E12          GND                                          Power              Right      E
E13          GND                                          Power              Right      E
E18          GND                                          Power              Right      E
E9           GND                                          Power              Right      E
G18          GND                                          Power              Right      E
H5           GND                                          Power              Right      E
K10          GND                                          Power              Right      E
K11          GND                                          Power              Right      E
K3           GND                                          Power              Right      E
L10          GND                                          Power              Right      E
L11          GND                                          Power              Right      E
L18          GND                                          Power              Right      E
L8           GND                                          Power              Right      E
M11          GND                                          Power              Right      E
R18          GND                                          Power              Right      E
T15          GND                                          Power              Right      E
U13          GND                                          Power              Right      E
U16          GND                                          Power              Right      E
U3           GND                                          Power              Right      E
U7           GND                                          Power              Right      E
U8           GND                                          Power              Right      E
V11          GND                                          Power              Right      E
V18          GND                                          Power              Right      E
V5           GND                                          Power              Right      E
V7           GND                                          Power              Right      E
N7           GND                                          Power              Right      E
E16          GND_PLLA1                                    Power              Right      E
E5           GND_PLLA0                                    Power              Right      E

Total Number of Pins, 400
